id,coordinate_X,coordinate_Y,STATION_NAME,LOCAL_DATE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,
7037400.2020.6.30,-74.05,45.8,ST JEROME,2020-06-30 00:00:00,2020,6,30,0,None,0,None,None,None,18.1,None,None,None,23.6,None,None,None,
7037400.2020.12.25,-74.05,45.8,ST JEROME,2020-12-25 00:00:00,2020,12,25,None,M,0,None,None,None,1,None,None,None,9.9,None,None,None,
7037400.2020.10.5,-74.05,45.8,ST JEROME,2020-10-05 00:00:00,2020,10,5,1,None,0,None,None,None,7.5,None,None,None,14.1,None,None,None,
7037400.2020.11.18,-74.05,45.8,ST JEROME,2020-11-18 00:00:00,2020,11,18,0,None,0,None,None,None,-7.8,None,None,None,-4.2,None,None,None,
7037400.2020.12.17,-74.05,45.8,ST JEROME,2020-12-17 00:00:00,2020,12,17,0,None,0,None,None,None,-16,None,None,None,-6.8,None,None,None,
7037400.2020.6.16,-74.05,45.8,ST JEROME,2020-06-16 00:00:00,2020,6,16,None,M,0,None,None,None,8.3,None,None,None,27.8,None,None,None,
7037400.2020.10.13,-74.05,45.8,ST JEROME,2020-10-13 00:00:00,2020,10,13,19,None,0,None,None,None,4.4,None,None,None,8.1,None,None,None,
7037400.2020.9.7,-74.05,45.8,ST JEROME,2020-09-07 00:00:00,2020,9,7,5.2,None,0,None,None,None,7.3,None,None,None,23.7,None,None,None,
7037400.2020.5.24,-74.05,45.8,ST JEROME,2020-05-24 00:00:00,2020,5,24,0,None,0,None,None,None,4.9,None,None,None,25,None,None,None,
7037400.2020.2.12,-74.05,45.8,ST JEROME,2020-02-12 00:00:00,2020,2,12,0.2,None,0.2,None,None,None,-5.4,None,None,None,0.9,None,None,None,
7037400.2020.1.21,-74.05,45.8,ST JEROME,2020-01-21 00:00:00,2020,1,21,0,None,0,None,None,None,-24.5,None,None,None,-5.1,None,None,None,
7037400.2020.3.13,-74.05,45.8,ST JEROME,2020-03-13 00:00:00,2020,3,13,None,M,0,E,None,None,-1.5,None,None,None,7.5,None,None,None,
7037400.2020.9.27,-74.05,45.8,ST JEROME,2020-09-27 00:00:00,2020,9,27,None,M,0,None,None,None,13,None,None,None,26.2,None,None,None,
7037400.2020.6.3,-74.05,45.8,ST JEROME,2020-06-03 00:00:00,2020,6,3,1,None,0,None,None,None,8.8,None,None,None,16.4,None,None,None,
7037400.2020.8.5,-74.05,45.8,ST JEROME,2020-08-05 00:00:00,2020,8,5,None,M,0,None,None,None,16.6,None,None,None,23.4,None,None,None,
7037400.2020.10.27,-74.05,45.8,ST JEROME,2020-10-27 00:00:00,2020,10,27,None,M,0,None,None,None,-1.9,None,None,None,3.1,None,None,None,
7037400.2020.7.2,-74.05,45.8,ST JEROME,2020-07-02 00:00:00,2020,7,2,0,None,0,None,None,None,18.1,None,None,None,30.5,None,None,None,
7037400.2020.9.25,-74.05,45.8,ST JEROME,2020-09-25 00:00:00,2020,9,25,None,M,0,None,None,None,3.3,None,None,None,16.1,None,None,None,
7037400.2020.6.12,-74.05,45.8,ST JEROME,2020-06-12 00:00:00,2020,6,12,None,M,0,None,None,None,9.2,None,None,None,19,None,None,None,
7037400.2020.1.14,-74.05,45.8,ST JEROME,2020-01-14 00:00:00,2020,1,14,2,None,2,None,None,None,-13,None,None,None,-6.2,None,None,None,
7037400.2020.1.24,-74.05,45.8,ST JEROME,2020-01-24 00:00:00,2020,1,24,0,None,0,None,None,None,-5.4,None,None,None,2,None,None,None,
7037400.2020.9.22,-74.05,45.8,ST JEROME,2020-09-22 00:00:00,2020,9,22,0,None,0,None,None,None,0.9,None,None,None,18.1,None,None,None,
7037400.2020.4.19,-74.05,45.8,ST JEROME,2020-04-19 00:00:00,2020,4,19,3,None,0,None,None,None,-0.5,None,None,None,7.6,None,None,None,
7037400.2020.1.7,-74.05,45.8,ST JEROME,2020-01-07 00:00:00,2020,1,7,3,None,3,None,None,None,-13.4,None,None,None,-2,None,None,None,
7037400.2020.12.13,-74.05,45.8,ST JEROME,2020-12-13 00:00:00,2020,12,13,0,None,0,None,None,None,-3,None,None,None,3.7,None,None,None,
7037400.2020.5.21,-74.05,45.8,ST JEROME,2020-05-21 00:00:00,2020,5,21,None,M,None,M,None,None,6.3,None,None,None,25.3,None,None,None,
7037400.2020.11.26,-74.05,45.8,ST JEROME,2020-11-26 00:00:00,2020,11,26,2,None,0,None,None,None,-3.7,None,None,None,3.5,None,None,None,
7037400.2020.9.4,-74.05,45.8,ST JEROME,2020-09-04 00:00:00,2020,9,4,0,None,0,None,None,None,11.7,None,None,None,20.9,None,None,None,
7037400.2020.12.6,-74.05,45.8,ST JEROME,2020-12-06 00:00:00,2020,12,6,0,None,0,None,None,None,-5.1,None,None,None,-1.4,None,None,None,
7037400.2020.3.17,-74.05,45.8,ST JEROME,2020-03-17 00:00:00,2020,3,17,None,M,0,E,None,None,-6.4,None,None,None,4.5,None,None,None,
7037400.2020.10.19,-74.05,45.8,ST JEROME,2020-10-19 00:00:00,2020,10,19,24,None,0,None,None,None,6.9,None,None,None,8.9,None,None,None,
7037400.2020.7.12,-74.05,45.8,ST JEROME,2020-07-12 00:00:00,2020,7,12,1,None,0,None,None,None,19.6,None,None,None,26.6,None,None,None,
7037400.2020.10.25,-74.05,45.8,ST JEROME,2020-10-25 00:00:00,2020,10,25,None,M,0,T,None,None,-2,None,None,None,6.1,None,None,None,
7037400.2020.7.7,-74.05,45.8,ST JEROME,2020-07-07 00:00:00,2020,7,7,15.2,None,0,None,None,None,12.9,None,None,None,32.1,None,None,None,
7037400.2020.12.19,-74.05,45.8,ST JEROME,2020-12-19 00:00:00,2020,12,19,0,T,0,T,None,None,-16.1,None,None,None,-4.7,None,None,None,
7037400.2020.11.25,-74.05,45.8,ST JEROME,2020-11-25 00:00:00,2020,11,25,2,None,2,None,None,None,-10.2,None,None,None,0.1,None,None,None,
7037400.2020.9.28,-74.05,45.8,ST JEROME,2020-09-28 00:00:00,2020,9,28,None,M,0,None,None,None,12.5,None,None,None,22.5,None,None,None,
7037400.2020.8.25,-74.05,45.8,ST JEROME,2020-08-25 00:00:00,2020,8,25,0,None,0,None,None,None,16.6,None,None,None,23.2,None,None,None,
7037400.2020.12.26,-74.05,45.8,ST JEROME,2020-12-26 00:00:00,2020,12,26,0,None,0,None,None,None,-9.7,None,None,None,-4.8,None,None,None,
7037400.2020.11.29,-74.05,45.8,ST JEROME,2020-11-29 00:00:00,2020,11,29,0,None,0,None,None,None,0.8,None,None,None,5.7,None,None,None,
7037400.2020.5.8,-74.05,45.8,ST JEROME,2020-05-08 00:00:00,2020,5,8,None,M,0,None,None,None,-2.9,None,None,None,5.9,None,None,None,
7037400.2020.6.7,-74.05,45.8,ST JEROME,2020-06-07 00:00:00,2020,6,7,None,M,0,None,None,None,8.5,None,None,None,21.4,None,None,None,
7037400.2020.3.11,-74.05,45.8,ST JEROME,2020-03-11 00:00:00,2020,3,11,0,None,0,None,None,None,-9,None,None,None,0.1,None,None,None,
7037400.2020.9.21,-74.05,45.8,ST JEROME,2020-09-21 00:00:00,2020,9,21,0,None,0,None,None,None,-0.7,None,None,None,16.1,None,None,None,
7037400.2020.5.12,-74.05,45.8,ST JEROME,2020-05-12 00:00:00,2020,5,12,None,M,None,M,None,None,-2,None,None,None,8.2,None,None,None,
7037400.2020.6.8,-74.05,45.8,ST JEROME,2020-06-08 00:00:00,2020,6,8,None,M,0,None,None,None,7.4,None,None,None,22.6,None,None,None,
7037400.2020.1.29,-74.05,45.8,ST JEROME,2020-01-29 00:00:00,2020,1,29,0,None,0,None,None,None,-16.5,None,None,None,-3,None,None,None,
7037400.2020.5.2,-74.05,45.8,ST JEROME,2020-05-02 00:00:00,2020,5,2,1.6,None,0,None,None,None,-1,None,None,None,18.5,None,None,None,
7037400.2020.1.27,-74.05,45.8,ST JEROME,2020-01-27 00:00:00,2020,1,27,0,None,0,None,None,None,-1.6,None,None,None,2.3,None,None,None,
7037400.2020.1.11,-74.05,45.8,ST JEROME,2020-01-11 00:00:00,2020,1,11,31,None,10,None,None,None,-0.3,None,None,None,6.6,None,None,None,
7037400.2020.11.23,-74.05,45.8,ST JEROME,2020-11-23 00:00:00,2020,11,23,0,None,0,None,None,None,-3.3,None,None,None,1,None,None,None,
7037400.2020.5.10,-74.05,45.8,ST JEROME,2020-05-10 00:00:00,2020,5,10,None,M,0,None,None,None,-0.9,None,None,None,9.2,None,None,None,
7037400.2020.3.5,-74.05,45.8,ST JEROME,2020-03-05 00:00:00,2020,3,5,0,None,0,None,None,None,-3.7,None,None,None,6.2,None,None,None,
7037400.2020.6.15,-74.05,45.8,ST JEROME,2020-06-15 00:00:00,2020,6,15,0,None,0,None,None,None,5,None,None,None,24.6,None,None,None,
7037400.2020.11.1,-74.05,45.8,ST JEROME,2020-11-01 00:00:00,2020,11,1,9,None,0,None,None,None,-6,None,None,None,5.8,None,None,None,
7037400.2020.1.23,-74.05,45.8,ST JEROME,2020-01-23 00:00:00,2020,1,23,0,None,0,None,None,None,-3.7,None,None,None,1.7,None,None,None,
7037400.2020.8.1,-74.05,45.8,ST JEROME,2020-08-01 00:00:00,2020,8,1,0,None,0,None,None,None,14.9,None,None,None,28.8,None,None,None,
7037400.2020.9.30,-74.05,45.8,ST JEROME,2020-09-30 00:00:00,2020,9,30,2.2,None,0,None,None,None,10.8,None,None,None,14.7,None,None,None,
7037400.2020.2.5,-74.05,45.8,ST JEROME,2020-02-05 00:00:00,2020,2,5,0,T,0,T,None,None,-11.4,None,None,None,-4.5,None,None,None,
7037400.2020.10.28,-74.05,45.8,ST JEROME,2020-10-28 00:00:00,2020,10,28,None,M,0,None,None,None,-4.5,None,None,None,4.9,None,None,None,
7037400.2020.7.27,-74.05,45.8,ST JEROME,2020-07-27 00:00:00,2020,7,27,9,None,0,None,None,None,21.8,None,None,None,27.1,None,None,None,
7037400.2020.5.9,-74.05,45.8,ST JEROME,2020-05-09 00:00:00,2020,5,9,None,M,0,None,None,None,-2.6,None,None,None,4.3,None,None,None,
7037400.2020.2.24,-74.05,45.8,ST JEROME,2020-02-24 00:00:00,2020,2,24,0,None,0,None,None,None,-6.7,None,None,None,8,None,None,None,
7037400.2020.9.10,-74.05,45.8,ST JEROME,2020-09-10 00:00:00,2020,9,10,None,M,0,None,None,None,10.4,None,None,None,14.8,None,None,None,
7037400.2020.4.6,-74.05,45.8,ST JEROME,2020-04-06 00:00:00,2020,4,6,0,None,0,None,None,None,-4.7,None,None,None,11.5,None,None,None,
7037400.2020.10.18,-74.05,45.8,ST JEROME,2020-10-18 00:00:00,2020,10,18,None,M,0,None,None,None,-0.5,None,None,None,14.7,None,None,None,
7037400.2020.9.3,-74.05,45.8,ST JEROME,2020-09-03 00:00:00,2020,9,3,0.4,None,0,None,None,None,11.3,None,None,None,22.7,None,None,None,
7037400.2020.8.29,-74.05,45.8,ST JEROME,2020-08-29 00:00:00,2020,8,29,None,M,0,None,None,None,12.3,None,None,None,14,None,None,None,
7037400.2020.8.21,-74.05,45.8,ST JEROME,2020-08-21 00:00:00,2020,8,21,0,None,0,None,None,None,14,None,None,None,24.9,None,None,None,
7037400.2020.7.15,-74.05,45.8,ST JEROME,2020-07-15 00:00:00,2020,7,15,None,M,0,None,None,None,14.3,None,None,None,24.4,None,None,None,
7037400.2020.12.21,-74.05,45.8,ST JEROME,2020-12-21 00:00:00,2020,12,21,None,M,None,M,None,None,-3.7,None,None,None,1.5,None,None,None,
7037400.2020.9.17,-74.05,45.8,ST JEROME,2020-09-17 00:00:00,2020,9,17,0,None,0,None,None,None,10.1,None,None,None,15.5,None,None,None,
7037400.2020.7.20,-74.05,45.8,ST JEROME,2020-07-20 00:00:00,2020,7,20,0,None,0,None,None,None,20.2,None,None,None,27.3,None,None,None,
7037400.2020.1.25,-74.05,45.8,ST JEROME,2020-01-25 00:00:00,2020,1,25,17,None,17,None,None,None,-3.9,None,None,None,1.6,None,None,None,
7037400.2020.6.5,-74.05,45.8,ST JEROME,2020-06-05 00:00:00,2020,6,5,1.9,None,0,None,None,None,10.8,None,None,None,29.2,None,None,None,
7037400.2020.9.11,-74.05,45.8,ST JEROME,2020-09-11 00:00:00,2020,9,11,0,None,0,None,None,None,4.7,None,None,None,18.3,None,None,None,
7037400.2020.10.14,-74.05,45.8,ST JEROME,2020-10-14 00:00:00,2020,10,14,0,None,0,None,None,None,4.3,None,None,None,14.3,None,None,None,
7037400.2020.10.4,-74.05,45.8,ST JEROME,2020-10-04 00:00:00,2020,10,4,0,None,0,None,None,None,3.4,None,None,None,14,None,None,None,
7037400.2020.5.20,-74.05,45.8,ST JEROME,2020-05-20 00:00:00,2020,5,20,None,M,None,M,None,None,3.8,None,None,None,23.7,None,None,None,
7037400.2020.7.31,-74.05,45.8,ST JEROME,2020-07-31 00:00:00,2020,7,31,None,M,0,None,None,None,14.3,None,None,None,27.1,None,None,None,
7037400.2020.1.12,-74.05,45.8,ST JEROME,2020-01-12 00:00:00,2020,1,12,None,M,None,M,None,None,-9.5,None,None,None,-7.7,None,None,None,
7037400.2020.6.21,-74.05,45.8,ST JEROME,2020-06-21 00:00:00,2020,6,21,None,M,0,None,None,None,17.7,None,None,None,33,None,None,None,
7037400.2020.9.26,-74.05,45.8,ST JEROME,2020-09-26 00:00:00,2020,9,26,None,M,0,None,None,None,5.3,None,None,None,24.9,None,None,None,
7037400.2020.2.17,-74.05,45.8,ST JEROME,2020-02-17 00:00:00,2020,2,17,0,E,0,E,None,None,-15.2,None,None,None,-4,None,None,None,
7037400.2020.6.4,-74.05,45.8,ST JEROME,2020-06-04 00:00:00,2020,6,4,None,M,0,None,None,None,7.4,None,None,None,24.8,None,None,None,
7037400.2020.6.19,-74.05,45.8,ST JEROME,2020-06-19 00:00:00,2020,6,19,None,M,0,None,None,None,14.5,None,None,None,32,None,None,None,
7037400.2020.12.28,-74.05,45.8,ST JEROME,2020-12-28 00:00:00,2020,12,28,9,None,0,None,None,None,-10.2,None,None,None,1.5,None,None,None,
7037400.2020.11.16,-74.05,45.8,ST JEROME,2020-11-16 00:00:00,2020,11,16,0,T,0,None,None,None,1.8,None,None,None,4.6,None,None,None,
7037400.2020.8.9,-74.05,45.8,ST JEROME,2020-08-09 00:00:00,2020,8,9,2.5,None,0,None,None,None,15.3,None,None,None,25.9,None,None,None,
7037400.2020.7.13,-74.05,45.8,ST JEROME,2020-07-13 00:00:00,2020,7,13,0,None,0,None,None,None,14.6,None,None,None,27.3,None,None,None,
7037400.2020.6.13,-74.05,45.8,ST JEROME,2020-06-13 00:00:00,2020,6,13,0,None,0,None,None,None,5.2,None,None,None,16.3,None,None,None,
7037400.2020.4.15,-74.05,45.8,ST JEROME,2020-04-15 00:00:00,2020,4,15,None,M,None,M,None,None,-1.9,None,None,None,3.6,None,None,None,
7037400.2020.8.15,-74.05,45.8,ST JEROME,2020-08-15 00:00:00,2020,8,15,0,None,0,None,None,None,16,None,None,None,26.7,None,None,None,
7037400.2020.4.14,-74.05,45.8,ST JEROME,2020-04-14 00:00:00,2020,4,14,None,M,0,None,None,None,0,None,None,None,6.1,None,None,None,
7037400.2020.9.6,-74.05,45.8,ST JEROME,2020-09-06 00:00:00,2020,9,6,0,None,0,None,None,None,5.8,None,None,None,19.9,None,None,None,
7037400.2020.1.30,-74.05,45.8,ST JEROME,2020-01-30 00:00:00,2020,1,30,0,None,0,None,None,None,-19.5,None,None,None,-5,None,None,None,
7037400.2020.2.29,-74.05,45.8,ST JEROME,2020-02-29 00:00:00,2020,2,29,0,None,0,None,None,None,-16.5,None,None,None,-5.8,None,None,None,
7037400.2020.4.27,-74.05,45.8,ST JEROME,2020-04-27 00:00:00,2020,4,27,0,None,0,None,None,None,4.3,None,None,None,11.2,None,None,None,
7037400.2020.4.9,-74.05,45.8,ST JEROME,2020-04-09 00:00:00,2020,4,9,None,M,0,None,None,None,0,None,None,None,1.8,None,None,None,
7037400.2020.3.8,-74.05,45.8,ST JEROME,2020-03-08 00:00:00,2020,3,8,0,None,0,None,None,None,-4.8,None,None,None,5.6,None,None,None,
7037400.2020.10.20,-74.05,45.8,ST JEROME,2020-10-20 00:00:00,2020,10,20,None,M,0,None,None,None,4.8,None,None,None,10.5,None,None,None,
7037400.2020.1.4,-74.05,45.8,ST JEROME,2020-01-04 00:00:00,2020,1,4,2,None,2,None,None,None,-2.9,None,None,None,0.3,None,None,None,
7037400.2020.3.25,-74.05,45.8,ST JEROME,2020-03-25 00:00:00,2020,3,25,0,None,0,None,None,None,-6.2,None,None,None,6.8,None,None,None,
7037400.2020.10.22,-74.05,45.8,ST JEROME,2020-10-22 00:00:00,2020,10,22,0,None,0,None,None,None,1.8,None,None,None,12.1,None,None,None,
7037400.2020.12.23,-74.05,45.8,ST JEROME,2020-12-23 00:00:00,2020,12,23,6,None,6,None,None,None,-12.8,None,None,None,-5.5,None,None,None,
7037400.2020.12.20,-74.05,45.8,ST JEROME,2020-12-20 00:00:00,2020,12,20,None,M,None,M,None,None,-6.9,None,None,None,-1.8,None,None,None,
7037400.2020.3.14,-74.05,45.8,ST JEROME,2020-03-14 00:00:00,2020,3,14,0,None,0,None,None,None,-1.2,None,None,None,4.3,None,None,None,
7037400.2020.5.11,-74.05,45.8,ST JEROME,2020-05-11 00:00:00,2020,5,11,None,M,0,None,None,None,-1.4,None,None,None,12.2,None,None,None,
7037400.2020.7.26,-74.05,45.8,ST JEROME,2020-07-26 00:00:00,2020,7,26,16,None,0,None,None,None,19.7,None,None,None,29.4,None,None,None,
7037400.2020.11.3,-74.05,45.8,ST JEROME,2020-11-03 00:00:00,2020,11,3,0,None,0,None,None,None,-4,None,None,None,0.8,None,None,None,
7037400.2020.5.16,-74.05,45.8,ST JEROME,2020-05-16 00:00:00,2020,5,16,0,None,0,None,None,None,7.6,None,None,None,15.4,None,None,None,
7037400.2020.3.10,-74.05,45.8,ST JEROME,2020-03-10 00:00:00,2020,3,10,3,None,0,None,None,None,-4,None,None,None,4.4,None,None,None,
7037400.2020.2.22,-74.05,45.8,ST JEROME,2020-02-22 00:00:00,2020,2,22,0,None,0,None,None,None,-5.8,None,None,None,1.6,None,None,None,
