Precipitation (mm),Hauteur (m)
889.61,6.83
742.23,16.56
94.71,5.02
1667.51,28.37
1491.32,19.32
1009.0,23.97
683.92,18.01
1240.95,3.47
1073.03,28.93
561.79,17.74
769.17,18.22
1819.48,24.4
242.48,21.37
1944.56,27.9
780.59,21.87
269.68,5.68
1912.97,10.21
1648.72,3.01
186.39,26.92
1726.65,17.95
779.88,24.24
1680.1,23.73
1062.5,20.68
1451.45,2.95
1810.42,2.78
1531.44,28.22
1578.26,9.43
524.57,20.38
313.08,17.75
1980.88,20.89
1493.08,22.32
173.0,18.93
440.68,10.02
242.84,12.85
1588.23,8.05
1789.1,1.89
996.85,24.38
254.54,21.98
225.45,22.93
638.89,11.35
717.38,25.03
627.16,20.44
750.71,25.18
261.78,21.75
1307.51,5.19
1728.08,27.1
1152.77,16.54
1819.68,20.53
141.82,14.36
228.39,7.52
1015.55,19.44
1948.14,15.91
266.61,13.65
416.54,4.45
1771.95,25.44
1177.84,17.71
133.09,24.12
1960.9,15.93
967.18,11.32
878.83,2.27
499.71,25.64
154.21,12.51
1928.44,29.32
122.25,13.42
694.64,14.59
1006.38,15.67
990.83,11.23
892.89,11.57
1475.42,14.78
1015.31,6.61
460.14,15.99
1069.92,11.07
974.64,0.93
1541.96,24.95
301.52,16.3
907.06,19.01
1797.94,26.88
1070.68,25.98
1087.49,8.92
1618.71,1.57
508.03,17.47
1253.76,28.14
1861.3,4.14
1067.73,1.16
1172.78,19.65
547.4,19.38
261.86,2.43
1748.06,5.98
1708.55,6.29
377.43,7.85
1687.92,10.13
1384.83,10.6
397.13,20.58
158.67,9.24
871.28,24.67
350.97,28.41
1716.26,28.11
323.87,13.73
1859.03,1.28
604.29,28.51
1166.29,23.98
1961.66,23.73
1584.62,14.31
1725.61,8.17
1978.72,22.95
1517.16,14.9
875.81,18.84
1512.58,20.3
339.02,13.76
1574.57,13.02
1009.16,22.86
425.16,5.51
1566.05,21.27
119.04,28.71
1456.56,5.97
780.78,9.03
1285.34,7.81
645.42,12.4
1650.05,7.52
455.09,2.05
1188.84,25.24
1351.34,1.06
434.55,10.52
531.55,17.38
219.01,18.47
1219.53,18.53
1997.46,4.73
1984.33,25.72
1702.54,1.93
1322.01,5.07
254.72,28.44
1797.07,9.91
1735.27,28.35
441.15,18.95
1504.96,6.54
395.08,20.15
539.31,9.94
908.5,23.14
487.59,19.81
543.62,6.31
547.2,21.8
1844.67,28.79
738.59,25.65
1095.65,20.48
1938.77,4.22
1821.74,12.7
1754.22,18.49
1767.79,14.41
906.7,16.17
1873.06,25.7
566.47,25.98
1948.66,3.26
1176.92,21.79
420.94,24.76
693.2,2.8
1880.4,4.27
396.85,19.13
257.65,5.93
1241.48,23.68
1417.22,6.38
655.99,27.49
767.89,24.36
393.6,15.71
1491.96,18.36
66.06,22.0
140.94,21.57
1293.73,21.57
824.06,27.34
829.69,23.48
1457.11,2.93
1870.62,2.92
724.35,25.41
1661.54,9.98
1987.46,5.3
346.98,13.28
495.76,4.77
221.14,21.99
429.88,4.27
456.54,4.0
1937.49,7.51
1232.62,2.9
1779.42,5.61
1597.17,25.63
159.74,5.02
385.11,9.28
272.04,22.07
1389.14,3.79
1500.12,8.09
263.36,21.12
381.02,14.61
111.83,3.17
1554.08,6.56
1811.53,20.63
304.01,11.89
263.72,21.01
911.17,21.52
1335.2,18.32
1259.62,8.19
215.21,4.45
168.47,14.85
1596.09,24.3
