Category,Percentage
Glaciers and Ice Caps,12.7
Soil Moisture,21.75
Freshwater Lakes,90.36
Freshwater Lakes,89.55
Inland Seas,17.69
Rivers,50.91
Inland Seas,13.65
Oceans,93.11
Inland Seas,24.03
Atmosphere,51.19
Atmosphere,41.34
Atmosphere,61.33
Soil Moisture,48.56
Soil Moisture,78.65
Groundwater,94.62
Oceans,88.07
Freshwater Lakes,84.33
Freshwater Lakes,38.98
Freshwater Lakes,69.64
Glaciers and Ice Caps,59.55
Soil Moisture,3.36
Groundwater,66.39
Oceans,53.57
Rivers,53.48
Soil Moisture,59.28
Glaciers and Ice Caps,86.16
Soil Moisture,43.56
Soil Moisture,88.2
Oceans,8.6
Glaciers and Ice Caps,67.01
Rivers,6.89
Oceans,45.47
Oceans,41.27
Rivers,21.47
Inland Seas,37.88
Glaciers and Ice Caps,20.55
Rivers,66.26
Soil Moisture,22.43
Soil Moisture,15.31
Rivers,48.41
Glaciers and Ice Caps,44.99
Glaciers and Ice Caps,48.66
Rivers,41.6
Freshwater Lakes,49.19
Freshwater Lakes,40.88
Groundwater,31.32
Freshwater Lakes,68.52
Atmosphere,10.61
Atmosphere,35.28
Inland Seas,31.58
Glaciers and Ice Caps,96.2
Rivers,17.46
Glaciers and Ice Caps,90.4
Glaciers and Ice Caps,2.01
Rivers,29.03
Freshwater Lakes,45.99
Rivers,54.72
Atmosphere,6.28
Soil Moisture,3.62
Glaciers and Ice Caps,17.19
Groundwater,59.54
Atmosphere,69.41
Oceans,7.54
Glaciers and Ice Caps,32.84
Inland Seas,77.97
Rivers,54.72
Groundwater,20.42
Glaciers and Ice Caps,33.89
Oceans,53.32
Atmosphere,16.61
Freshwater Lakes,72.27
Oceans,7.69
Groundwater,87.71
Glaciers and Ice Caps,8.77
Inland Seas,97.28
Freshwater Lakes,51.03
Rivers,71.15
Groundwater,62.39
Freshwater Lakes,68.19
Inland Seas,65.49
Atmosphere,39.0
Rivers,52.99
Rivers,32.65
Freshwater Lakes,6.12
Groundwater,49.43
Soil Moisture,93.96
Soil Moisture,60.18
Inland Seas,67.5
Glaciers and Ice Caps,24.87
Groundwater,91.98
Groundwater,77.46
Atmosphere,49.94
Groundwater,71.27
Atmosphere,51.59
Inland Seas,3.51
Groundwater,92.06
Rivers,32.33
Glaciers and Ice Caps,1.37
Inland Seas,56.03
Freshwater Lakes,4.59
Glaciers and Ice Caps,23.67
Glaciers and Ice Caps,19.25
Glaciers and Ice Caps,83.05
Atmosphere,79.46
Rivers,21.07
Freshwater Lakes,18.7
Oceans,74.44
Groundwater,62.21
Groundwater,0.19
Inland Seas,95.56
Glaciers and Ice Caps,7.61
Rivers,49.53
Freshwater Lakes,47.11
Inland Seas,58.55
Soil Moisture,44.7
Freshwater Lakes,68.11
Glaciers and Ice Caps,27.88
Rivers,41.7
Oceans,46.28
Groundwater,60.56
Inland Seas,62.48
Oceans,66.83
Inland Seas,25.44
Freshwater Lakes,1.85
Freshwater Lakes,70.85
Freshwater Lakes,95.48
Rivers,18.2
Inland Seas,74.09
Glaciers and Ice Caps,47.84
Atmosphere,16.42
Soil Moisture,84.19
Freshwater Lakes,15.46
Groundwater,59.91
Inland Seas,93.33
Inland Seas,2.74
Freshwater Lakes,17.1
Groundwater,82.6
Glaciers and Ice Caps,48.44
Inland Seas,27.0
Oceans,20.97
Rivers,12.77
Soil Moisture,22.35
Rivers,69.62
Inland Seas,87.69
Freshwater Lakes,55.62
Freshwater Lakes,5.32
Rivers,11.38
Rivers,22.91
Rivers,89.82
Oceans,1.69
Glaciers and Ice Caps,7.26
Freshwater Lakes,7.45
Freshwater Lakes,92.38
Atmosphere,4.71
Atmosphere,44.92
Groundwater,67.56
Groundwater,35.35
Inland Seas,59.86
Groundwater,21.8
Inland Seas,41.79
Glaciers and Ice Caps,25.04
Freshwater Lakes,50.85
Glaciers and Ice Caps,76.84
Inland Seas,52.13
Soil Moisture,87.05
Rivers,84.34
Soil Moisture,80.23
Rivers,52.87
Atmosphere,90.85
Atmosphere,66.16
Atmosphere,92.82
Rivers,3.06
Soil Moisture,10.67
Glaciers and Ice Caps,22.81
Groundwater,53.68
Soil Moisture,31.88
Atmosphere,54.09
Inland Seas,32.3
Glaciers and Ice Caps,50.98
Soil Moisture,29.05
Soil Moisture,11.3
Soil Moisture,96.38
Glaciers and Ice Caps,18.46
Freshwater Lakes,14.52
Inland Seas,85.84
Inland Seas,49.94
Rivers,16.75
Soil Moisture,60.61
Rivers,10.14
Atmosphere,39.09
Freshwater Lakes,27.63
Atmosphere,37.34
Oceans,35.08
Atmosphere,74.42
Glaciers and Ice Caps,9.51
Groundwater,39.16
Freshwater Lakes,1.53
Rivers,13.3
Glaciers and Ice Caps,97.03
Groundwater,88.39
Glaciers and Ice Caps,13.61
Soil Moisture,54.35
